macro_name,file,value,category,recompute_phase,notes
\numManualScenarios,paper/auto_numbers.tex,105,A,,system/structural constant
\numAutoScenarios,paper/auto_numbers.tex,601,A,,system/structural constant
\constraintDensityP,paper/auto_numbers.tex,0.004,A,,override
\ablationOvergenPct,paper/auto_numbers.tex,81.57,A,,system/structural constant
\ablationFPRate,paper/auto_numbers.tex,33.87,B,Phase 3,verdict-dependent (ablation)
\ablationFNRate,paper/auto_numbers.tex,35.16,B,Phase 3,verdict-dependent (ablation)
\enginePrecision,paper/auto_numbers.tex,0.217,A,,override
\engineRecall,paper/auto_numbers.tex,0.481,A,,override
\numMainGraphs,paper/auto_numbers.tex,20,A,,override
\numHoldoutGraphs,paper/auto_numbers.tex,5,A,,override
\fleissKappa,paper/auto_numbers.tex,0.145,B,Phase 3,verdict-dependent (kappa)
\cochransQP,paper/auto_numbers.tex,$<$0.001,B,Phase 3,verdict-dependent (cochran)
\numRankReversals,paper/auto_numbers.tex,231,B,Phase 3,verdict-dependent (reversal)
\difficultyCohenD,paper/auto_numbers.tex,-0.3744,B,Phase 3,verdict-dependent (cohen)
\difficultyKSP,paper/auto_numbers.tex,0.000186,B,Phase 3,default (unclassified)
\looSpearman,paper/auto_numbers.tex,0.96,B,Phase 3,verdict-dependent (spearman)
\faAC,paper/auto_numbers.tex,42.5,B,Phase 3,verdict-dependent (fa)
\faAllOblivious,paper/auto_numbers.tex,11.6,B,Phase 3,verdict-dependent (fa)
\faAllObliviousCount,paper/auto_numbers.tex,1959,B,Phase 3,verdict-dependent (fa)
\faCGA,paper/auto_numbers.tex,0.0,B,Phase 3,verdict-dependent (fa)
\faCTwo,paper/auto_numbers.tex,14.0,B,Phase 3,verdict-dependent (fa)
\faMAB,paper/auto_numbers.tex,31.9,B,Phase 3,verdict-dependent (fa)
\faNAC,paper/auto_numbers.tex,7202,B,Phase 3,verdict-dependent (fa)
\faNCGA,paper/auto_numbers.tex,0,B,Phase 3,verdict-dependent (fa)
\faNCTwo,paper/auto_numbers.tex,2372,B,Phase 3,verdict-dependent (fa)
\faNMAB,paper/auto_numbers.tex,5406,B,Phase 3,verdict-dependent (fa)
\medDgAC,paper/auto_numbers.tex,2.0,B,Phase 3,default (unclassified)
\medDgACov,paper/auto_numbers.tex,2.0,B,Phase 3,verdict-dependent (acov)
\medDgCGA,paper/auto_numbers.tex,0.0,B,Phase 3,verdict-dependent (cga)
\medDgCTwo,paper/auto_numbers.tex,1.0,B,Phase 3,verdict-dependent (ctwo)
\medDgDxEM,paper/auto_numbers.tex,2.0,B,Phase 3,verdict-dependent (dxem)
\medDgMAB,paper/auto_numbers.tex,2.0,B,Phase 3,default (unclassified)
\medViolFaCTwo,paper/auto_numbers.tex,1.0,B,Phase 3,verdict-dependent (fa)
\medViolFaMAB,paper/auto_numbers.tex,2.0,B,Phase 3,verdict-dependent (fa)
\medianViolFalseAccept,paper/auto_numbers.tex,2.0,B,Phase 3,verdict-dependent (fa)
\pairDisagreeMax,paper/auto_numbers.tex,10231,B,Phase 3,default (unclassified)
\verdictFlipCount,paper/auto_numbers.tex,14240,B,Phase 3,verdict-dependent (verdict)
\verdictFlipRate,paper/auto_numbers.tex,84.0,B,Phase 3,verdict-dependent (verdict)
\verdictFlipRateMatched,paper/auto_numbers.tex,82.9,B,Phase 3,verdict-dependent (verdict)
\verdictFlipRateMatchedFifty,paper/auto_numbers.tex,82.9,B,Phase 3,verdict-dependent (verdict)
\verdictFlipRateMatchedForty,paper/auto_numbers.tex,78.9,B,Phase 3,verdict-dependent (verdict)
\verdictFlipRateMatchedThirty,paper/auto_numbers.tex,78.1,B,Phase 3,verdict-dependent (verdict)
\vfACvsCGA,paper/auto_numbers.tex,10186,B,Phase 3,verdict-dependent (fa)
\vfACvsCGAPct,paper/auto_numbers.tex,60.1,B,Phase 3,verdict-dependent (fa)
\vfACvsCTwo,paper/auto_numbers.tex,8283,B,Phase 3,verdict-dependent (fa)
\vfACvsCTwoPct,paper/auto_numbers.tex,48.9,B,Phase 3,verdict-dependent (fa)
\vfACvsMAB,paper/auto_numbers.tex,4707,B,Phase 3,verdict-dependent (fa)
\vfACvsMABPct,paper/auto_numbers.tex,27.8,B,Phase 3,verdict-dependent (fa)
\vfCTwovsCGA,paper/auto_numbers.tex,7097,B,Phase 3,verdict-dependent (cga)
\vfCTwovsCGAPct,paper/auto_numbers.tex,41.9,B,Phase 3,verdict-dependent (cga)
