rater_id,specialty,years_experience,pair_id,scenario_id,Q1_guideline_adherence,Q2_patient_safety,Q3_supervisory_acceptance,comments
,,,pair_021,copd_moderate_exacerbation,,,,
,,,pair_022,copd_moderate_exacerbation,,,,
,,,pair_023,copd_moderate_exacerbation,,,,
,,,pair_016,copd_moderate_exacerbation,,,,
,,,pair_008,af_new_onset_basic,,,,
,,,pair_009,copd_moderate_exacerbation,,,,
,,,pair_002,af_new_onset_basic,,,,
,,,pair_007,af_new_onset_basic,,,,
,,,pair_011,copd_moderate_exacerbation,,,,
,,,pair_001,af_new_onset_basic,,,,
,,,pair_017,copd_moderate_exacerbation,,,,
,,,pair_018,copd_moderate_exacerbation,,,,
,,,pair_005,af_new_onset_basic,,,,
,,,pair_003,af_new_onset_basic,,,,
,,,pair_012,copd_moderate_exacerbation,,,,
,,,pair_030,pe_submassive_basic,,,,
,,,pair_025,pe_submassive_basic,,,,
,,,pair_027,pe_submassive_basic,,,,
,,,pair_019,copd_moderate_exacerbation,,,,
,,,pair_020,copd_moderate_exacerbation,,,,
,,,pair_029,pe_submassive_basic,,,,
,,,pair_032,pe_submassive_basic,,,,
,,,pair_026,pe_submassive_basic,,,,
,,,pair_028,pe_submassive_basic,,,,
,,,pair_004,af_new_onset_basic,,,,
