rule_id,graph,guideline,node,severity,effect_type,condition,actions,clinical_question,expected_answer,evidence_cited,clinician_agrees,clinician_notes
TRANS-TXA-WITHIN-3H,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,massive_transfusion,CRITICAL,FORBIDDEN,"patient.presentation.get('time_since_injury_hours', 0) > 3",give_tranexamic_acid,"Clinical scenario: patient.presentation.get('time since injury hours', 0) > 3
Context: TXA >3h after injury onset increases mortality (CRASH-2 subgroup analysis). Do NOT give TXA if >3h since injury.

Question: Is it safe to give tranexamic acid?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","CRASH-2 Trial, Lancet 2010 - TXA >3h increases mortality",,
TRANS-JEHOVAH-NO-BLOOD,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,massive_transfusion,CRITICAL,FORBIDDEN,"'jehovah_witness' in patient.get('preferences', []) or 'refuses_blood_products' in patient.get('preferences', [])","give_prbc, give_ffp, give_platelets, give_whole_blood","Clinical scenario: 'jehovah witness' in patient.get('preferences', []) OR 'refuses blood products' in patient.get('preferences', [])
Context: Jehovah's Witness or patients refusing blood products: transfusion is forbidden regardless of clinical indication. Use alternative strategies (cell saver, erythropoietin, TXA).

Question: Is it safe to give prbc, give ffp, give platelets, give whole blood?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",Patient autonomy; AABB ethical guidelines,,
TRANS-ANAPHYLAXIS-EPI,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,transfusion_reaction,CRITICAL,REQUIRED,"'anaphylactic_transfusion_reaction' in patient.get('presentation', {})","give_epinephrine_im, stop_transfusion_immediately","Clinical scenario: 'anaphylactic transfusion reaction' in patient.get('presentation', {})
Context: Anaphylactic transfusion reaction requires immediate epinephrine IM and cessation of transfusion. IgA deficiency is the most common cause.

Question: Should the clinician give epinephrine im, stop transfusion immediately?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required",AABB 2024 Transfusion Reaction Management,,
TRANS-ANAPHYLAXIS-EPI-FORBIDDEN,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,transfusion_reaction,CRITICAL,FORBIDDEN,"'anaphylactic_transfusion_reaction' in patient.get('presentation', {})","continue_transfusion_during_anaphylaxis, give_only_antihistamine_for_transfusion_anaphylaxis","Clinical scenario: 'anaphylactic transfusion reaction' in patient.get('presentation', {})
Context: Transfusion anaphylaxis requires immediate transfusion stop and epinephrine; antihistamine monotherapy is inadequate.
Question: Is it safe to continue transfusion during anaphylaxis, give only antihistamine for transfusion anaphylaxis?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AABB 2024; transfusion anaphylaxis requires immediate stop and epinephrine; antihistamines alone are insufficient,,
BURN-CYANIDE-HYDROXOCOBALAMIN,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,inhalation_injury,CRITICAL,REQUIRED,"'enclosed_space_fire' in patient.get('history', [])","give_hydroxocobalamin, order_cyanide_level","Clinical scenario: 'enclosed space fire' in patient.get('history', [])
Context: Enclosed space fire -> cyanide poisoning from combustion of synthetic materials. Hydroxocobalamin (Cyanokit) is first-line. Do NOT use sodium thiosulfate as sole treatment (too slow onset).

Question: Should the clinician give hydroxocobalamin, order cyanide level?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","ABA 2024; Baud FJ, NEJM 1991",,
BURN-CYANIDE-HYDROXOCOBALAMIN-FORBIDDEN,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,inhalation_injury,CRITICAL,FORBIDDEN,"'enclosed_space_fire' in patient.get('history', [])","give_sodium_nitrite_in_cyanide_burn, delay_cyanide_antidote_for_level","Clinical scenario: 'enclosed space fire' in patient.get('history', [])
Context: Sodium nitrite creates methemoglobin which compounds CO poisoning in burns; cyanide level delays allow fatal exposure.
Question: Is it safe to give sodium nitrite in cyanide burn, delay cyanide antidote for level?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",ABA Burn Guidelines 2023; sodium nitrite induces methemoglobinemia compounding carbon monoxide poisoning in burn patients,,
BURN-CHEST-ESCHAR-VENTILATION,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,escharotomy,CRITICAL,REQUIRED,"'circumferential_chest_burn' in patient.get('exam_findings', [])","perform_chest_escharotomy, monitor_ventilation_pressures","Clinical scenario: 'circumferential chest burn' in patient.get('exam findings', [])
Context: Circumferential chest burns restrict chest wall compliance -> ventilatory failure. Chest escharotomy restores compliance. Monitor peak airway pressures.

Question: Should the clinician perform chest escharotomy, monitor ventilation pressures?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required",ABA 2024; ISBI 2024 Escharotomy Chapter,,
BURN-CHEST-ESCHAR-VENTILATION-FORBIDDEN,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,escharotomy,CRITICAL,FORBIDDEN,"'circumferential_chest_burn' in patient.get('exam_findings', [])","delay_escharotomy_for_imaging, increase_ventilator_pressure_without_escharotomy","Clinical scenario: 'circumferential chest burn' in patient.get('exam findings', [])
Context: Chest eschar restricts ventilation; delaying escharotomy for imaging or increasing ventilator pressure without release is harmful.
Question: Is it safe to delay escharotomy for imaging, increase ventilator pressure without escharotomy?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",ABA Burn Guidelines 2023; circumferential chest eschar causes restrictive ventilatory failure requiring emergent release,,
ACLS-SHOCKABLE-DEFIB-FIRST,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,CRITICAL,BEFORE,'vf' in patient.cardiac_rhythm or 'pvt' in patient.cardiac_rhythm,"deliver_defibrillation, give_epinephrine_1mg_iv","Clinical scenario: 'vf' in patient.cardiac rhythm OR 'pvt' in patient.cardiac rhythm
Context: In shockable rhythms, defibrillation takes priority over drug administration; epinephrine given after 2nd shock.
Question: Is the ordering/timing constraint (deliver defibrillation, give epinephrine 1mg iv) clinically appropriate?
[ ] Yes, correct  [ ] No, incorrect  [ ] Depends (explain)","Yes, correct","AHA 2025 Section 5.1; Kudenchuk PJ, NEJM 2016",,
ACLS-SHOCKABLE-DEFIB-FIRST-FORBIDDEN,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,CRITICAL,FORBIDDEN,'vf' in patient.cardiac_rhythm or 'pvt' in patient.cardiac_rhythm,"give_amiodarone_before_first_shock, delay_defibrillation_for_intubation","Clinical scenario: 'vf' in patient.cardiac rhythm OR 'pvt' in patient.cardiac rhythm
Context: In shockable rhythm, defibrillation takes absolute priority; amiodarone before first shock and intubation delays worsen outcomes.
Question: Is it safe to give amiodarone before first shock, delay defibrillation for intubation?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2020; defibrillation is the definitive treatment for VF/pVT; each minute delay reduces survival by 7-10%,,
