macro_name,value,generator_script,pipeline,author_dependent,notes
termJudgeTzeroFA,1.9,run_ex1_llm_judge.py,T0-context-only,NO,Patient presentation only
termJudgeToneFA,25.5,run_ex1_llm_judge.py,T1-last5-actions,NO,Context + management plan summary
termJudgeTtwoFA,30.7,run_ex1_llm_judge.py,T2-full-actions-no-time,NO,Full action list without timestamps
termJudgeTthreeFA,18.5,run_ex1_llm_judge.py,T3-full-trace-with-time,NO,Full timed trace (TCC input minus constraints)
termJudgeTtwoTthreeGap,12.2,run_ex1_llm_judge.py,derived-T2-minus-T3,NO,Delta between T2 and T3 FA rates
termJudgeTtwoBSRcond,46.3,run_ex1_llm_judge.py,T2-conditional-BSR,NO,Blind-spot rate conditional on T2
termJudgeTthreeBSRcond,28.4,run_ex1_llm_judge.py,T3-conditional-BSR,NO,Blind-spot rate conditional on T3
gemmaJudgeTzeroFA,32.1,run_ex1_llm_judge.py,T0-gemma-cross-val,NO,Gemma cross-validation at T0
gemmaJudgeToneFA,34.7,run_ex1_llm_judge.py,T1-gemma-cross-val,NO,Gemma cross-validation at T1
gemmaJudgeTtwoFA,42.3,run_ex1_llm_judge.py,T2-gemma-cross-val,NO,Gemma cross-validation at T2
gemmaJudgeTthreeFA,25.9,run_ex1_llm_judge.py,T3-gemma-cross-val,NO,Gemma cross-validation at T3
gemmaJudgeTtwoTthreeGap,16.4,run_ex1_llm_judge.py,derived-gemma-delta,NO,Gemma T2-T3 delta
defaultPassTzeroFA,4.2,run_ex1_llm_judge.py,P2-prompt-T0,NO,Default-PASS prompt variant at T0
promptJudgeVariants,4,run_ex1_llm_judge.py,metadata,NO,Count of P1-P4 prompt variants
llmCatalogueQwen,1268,HARDCODED-from-llm_summary.json,Y1-qwen-catalogue,NO,Constraint extraction from CPG documents (not scenario configs)
llmCatalogueGptOss,1286,HARDCODED-from-llm_summary_v2.json,Y1v2-gptoss-catalogue,NO,GPT-OSS catalogue (11 non-canonical filtered out)
cdeCatalogueSize,1049,HARDCODED-from-engine_audit.json,CDE-reference,N/A,CDE constraint count (not LLM-judge)
