graph_id,action,n_scenarios,source,n_models_total,clinician_valid
,optimize_volume_status,65,manual,6,
,monitor_creatinine_daily,64,manual,6,
,monitor_acid_base,62,manual,6,
,perform_endotracheal_intubation,62,manual,3,
,monitor_creatinine_q12h,61,manual,6,
,reassess_after_treatment,46,manual,3,
,optimize_hemodynamics,45,manual,7,
,evaluate_alternative_diagnoses,44,manual,7,
,standard_contrast_administration,37,manual,5,
,schedule_followup,37,manual,5,
,use_minimum_contrast_volume,37,manual,5,
,serial_scr_monitoring,37,manual,5,
,recheck_potassium_in_1h,31,manual,2,
,perform_lumbar_puncture,31,manual,2,
,monitor_bmp_q2_4h,30,manual,2,
,identify_toxin_class,28,manual,1,
,review_ecg_for_toxicity,28,manual,1,
,prehydrate_iv_ns,25,manual,5,
,use_lowest_contrast_volume,25,manual,5,
,stress_testing_or_cta,21,manual,7,
,update_tetanus_if_needed,20,manual,7,
,remove_clothing_jewelry,20,manual,7,
,pain_management,20,manual,7,
,initiate_sglt2i,18,manual,7,
,initiate_rrt_immediately,18,manual,6,
,treat_hyperkalemia_temporizing,18,manual,6,
,monitor_potassium_q6h,18,manual,6,
,urgent_nephrology_consult,18,manual,6,
,vascular_access_placement,18,manual,6,
,monitor_fluid_balance_hourly,17,manual,6,
,plan_rrt_modality,17,manual,6,
,give_calcium_gluconate,17,manual,6,
,refer_to_allergist,17,manual,3,
,order_ecg_stat,16,manual,6,
,reassess_neurological_status,16,manual,1,
,give_thrombolysis,14,manual,2,
,reassess_perfusion,13,manual,1,
,remeasure_lactate_if_elevated,13,manual,1,
,type_and_crossmatch,11,manual,3,
,obtain_informed_consent,9,manual,7,
,give_iv_antibiotics_immediately,9,manual,4,
,give_beta_lactam_plus_fluoroquinolone,9,manual,4,
,give_aspirin,9,manual,3,
,give_crystalloid_bolus,9,manual,2,
,add_dextrose_to_iv,8,manual,7,
,initiate_beta_blocker,8,manual,7,
,continuous_monitoring,7,manual,7,
,identify_precipitating_factors,7,manual,7,
,initiate_mra,7,manual,7,
,initiate_ace_or_arb_or_arni,7,manual,7,
,review_inclusion_criteria,6,manual,7,
,manage_comorbidities,6,manual,7,
,evaluate_diastolic_function,6,manual,7,
,manage_volume_status,6,manual,7,
,document_hfref_diagnosis,6,manual,7,
,identify_etiology,6,manual,7,
,review_exclusion_criteria,6,manual,6,
,obtain_iv_access,6,manual,3,
,give_hydroxocobalamin,5,manual,7,
,discontinue_nsaid,5,manual,7,
,vasopressor_support,5,manual,7,
,invasive_hemodynamic_monitoring,5,manual,7,
,inotrope_support,5,manual,7,
,mechanical_circulatory_support_evaluation,5,manual,7,
,discuss_risks_benefits,5,manual,7,
,implant_icd,5,manual,7,
,implant_crt,5,manual,7,
,document_hfpef_diagnosis,5,manual,7,
,treat_hyperkalemia,5,manual,6,
,give_short_acting_bronchodilator,5,manual,3,
,transfuse_platelets,5,manual,2,
,consult_cardiology,5,manual,1,
,check_renal_dose_adjustment,5,manual,2,
,give_alteplase_0.9mg_kg,4,manual,7,
,multidisciplinary_team_evaluation,4,manual,7,
,select_mcs_device,4,manual,7,
,document_hfmref_diagnosis,4,manual,7,
,neurosurgery_consult,4,manual,6,
,perform_thrombectomy_procedure,4,manual,6,
,review_anticoagulation_status,4,manual,6,
,use_iso_osmolar_contrast,4,manual,6,
,stop_metformin,4,manual,2,
,continuous_fetal_monitoring,4,manual,3,
,consult_obstetrics,4,manual,3,
,consult_gastroenterology,4,manual,3,
,give_heparin,4,manual,2,
,give_digoxin_fab_fragments,4,manual,1,
,perform_chest_escharotomy,3,manual,7,
,consult_endocrinology,3,manual,7,
,give_acetaminophen_alternative,3,manual,7,
,reverse_anticoagulation_if_applicable,3,manual,6,
,confirm_favorable_perfusion_imaging,3,manual,6,
,neurological_monitoring,3,manual,6,
,treat_if_bp_above_220_120,3,manual,6,
,swallow_screen,3,manual,6,
,dvt_prophylaxis,3,manual,6,
,goal_reduction_15_percent,3,manual,6,
,early_mobilization,3,manual,6,
,consult_hepatology,3,manual,6,
,give_dantrolene,3,manual,3,
,stop_all_antipsychotics,3,manual,3,
,give_stress_dose_steroids,3,manual,3,
,stop_sglt2_inhibitor,3,manual,2,
,give_prophylactic_antibiotics,3,manual,2,
,add_ampicillin_for_listeria,3,manual,2,
,add_ampicillin_and_aminoglycoside,3,manual,2,
,give_gentamicin_iv,3,manual,2,
,order_imaging_ct_pulmonary_angiography,3,manual,2,
,verify_allergy_before_medication,3,manual,2,
,check_hepatic_dose_adjustment,3,manual,2,
,give_n_acetylcysteine,3,manual,1,
,perform_early_intubation,2,manual,7,
,pericardiocentesis,2,manual,7,
,iv_diuretics,2,manual,7,
,apply_nippv,2,manual,7,
,order_lab_free_t3,2,manual,7,
,order_lab_free_t4,2,manual,7,
,icp_monitoring_if_indicated,2,manual,6,
,consider_evacuation_if_indicated,2,manual,6,
,evd_for_hydrocephalus,2,manual,6,
,dvt_prophylaxis_mechanical,2,manual,6,
,seizure_prophylaxis_consideration,2,manual,6,
,repeat_ct_6h_or_if_deterioration,2,manual,6,
,neurosurgery_evaluation,2,manual,6,
,groin_site_monitoring,2,manual,6,
,document_shared_decision,2,manual,6,
,discuss_with_patient_family,2,manual,6,
,give_albumin_infusion,2,manual,6,
,iv_hydration_periprocedure,2,manual,6,
,post_procedure_creatinine_48h,2,manual,6,
,use_low_or_iso_osmolar_contrast,2,manual,6,
,standard_contrast_protocol,2,manual,6,
,give_aggressive_iv_fluid,2,manual,4,
,give_sodium_bicarbonate_drip,2,manual,4,
,give_glucagon,2,manual,3,
,position_left_lateral_decubitus,2,manual,3,
,add_anaerobic_coverage,2,manual,4,
,calculate_psi_score,2,manual,4,
,consult_cardiothoracic_surgery,2,manual,3,
,order_imaging_ct_angiography,2,manual,3,
