rule_id,graph,guideline,node,severity,effect_type,condition,actions,clinical_question,expected_answer,evidence_cited,clinician_agrees,clinician_notes
TRANS-CARDIAC-LIBERAL-THRESHOLD,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,restrictive_threshold,HIGH,REQUIRED,'acute_coronary_syndrome' in patient.comorbidities or 'symptomatic_cad' in patient.comorbidities,"apply_liberal_threshold_hb_8, transfuse_if_hb_below_8","Clinical scenario: patient has acute coronary syndrome OR patient has symptomatic cad
Context: ACS/symptomatic CAD patients benefit from liberal threshold (Hb < 8 vs < 7). MINT trial showed worse outcomes with restrictive strategy in cardiac patients.

Question: Should the clinician apply liberal threshold hb 8, transfuse if hb below 8?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AABB 2024; MINT Trial, NEJM 2023",,
TRANS-CARDIAC-LIBERAL-THRESHOLD-FORBIDDEN,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,restrictive_threshold,HIGH,FORBIDDEN,'acute_coronary_syndrome' in patient.comorbidities or 'symptomatic_cad' in patient.comorbidities,"use_liberal_transfusion_threshold_cardiac, transfuse_for_hb_above_8_in_cardiac","Clinical scenario: patient has acute coronary syndrome OR patient has symptomatic cad
Context: Cardiac patients benefit from restrictive transfusion (Hb < 8); liberal thresholds increase TACO and pulmonary edema risk.
Question: Is it safe to use liberal transfusion threshold cardiac, transfuse for hb above 8 in cardiac?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AABB 2024; TRICC trial; restrictive threshold (Hb < 8) is preferred in cardiac patients to reduce TACO/fluid overload,,
TRANS-STABLE-NO-TRANSFUSE-ABOVE-7,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,restrictive_threshold,HIGH,FORBIDDEN,"patient.labs.get('hemoglobin', 99) >= 7 and 'hemodynamically_stable' in patient.get('presentation', {})","transfuse_prbc, order_transfusion","Clinical scenario: patient.labs.get('hemoglobin', 99) >= 7 AND 'hemodynamically stable' in patient.get('presentation', {})
Context: In hemodynamically stable non-cardiac patients, Hb >= 7 does not require transfusion. Transfusing above threshold increases TACO, TRALI, infection risk without benefit.

Question: Is it safe to transfuse prbc, order transfusion?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AABB 2024; TRICC Trial, Hebert 1999 NEJM",,
BURN-PEDIATRIC-DEXTROSE,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,fluid_resuscitation,HIGH,REQUIRED,patient.age < 5,"add_dextrose_to_iv, monitor_glucose_q4h","Clinical scenario: patient age < 5
Context: Children <5 have limited glycogen stores. Large fluid resuscitation without dextrose causes hypoglycemia. Add D5 to maintenance fluids.

Question: Should the clinician add dextrose to IV fluids, monitor glucose q4h?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required",ABA 2024; ISBI Pediatric Burns Chapter,,
BURN-PEDIATRIC-DEXTROSE-FORBIDDEN,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,fluid_resuscitation,HIGH,FORBIDDEN,patient.age < 5,"withhold_glucose_monitoring_pediatric_burn, give_dextrose_free_fluid_only_pediatric_burn","Clinical scenario: patient age < 5
Context: Pediatric burn patients deplete glycogen rapidly; dextrose-free resuscitation without glucose monitoring causes hypoglycemic seizures.
Question: Is it safe to withhold glucose monitoring pediatric burn, give dextrose free fluid only pediatric burn?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",ABA Burn Guidelines 2023; pediatric patients have limited glycogen reserves; hypoglycemia causes seizures and brain injury,,
BURN-OVERRESUS-LIMIT,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,fluid_resuscitation,HIGH,FORBIDDEN,"patient.presentation.get('tbsa_percent', 0) > 40",exceed_6ml_kg_tbsa_in_24h,"Clinical scenario: patient.presentation.get('tbsa percent', 0) > 40
Context: >40% TBSA burns risk fluid creep (>6ml/kg/%TBSA). Excessive resuscitation causes abdominal compartment syndrome, pulmonary edema. Cap at ~6ml/kg/%TBSA and consider colloid adjunct early.

Question: Is it safe to exceed 6ml kg tbsa in 24h?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","ABA 2024; Saffle JR, J Burn Care Res 2007 - fluid creep",,
ACLS-SHOCKABLE-NO-ATROPINE,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,HIGH,FORBIDDEN,True,give_atropine_for_cardiac_arrest,"Clinical scenario: True
Context: Converted from unconditional: atropine removed from cardiac arrest algorithm post-2010 ACLS update; no evidence of benefit in VF/pVT
Question: Is it safe to give atropine for cardiac arrest?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2025 Section 5.1; AHA removed atropine from ACLS algorithm in 2010,,
ACLS-SHOCKABLE-NO-CALCIUM-WITHOUT-INDICATION,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,HIGH,FORBIDDEN,"patient.labs.get('potassium', 4.0) <= 6.5",give_calcium_without_indication,"Clinical scenario: patient.labs.get('potassium', 4.0) <= 6.5
Context: Converted from unconditional: calcium is not routinely indicated in cardiac arrest unless hyperkalemia (K>6.5) or calcium channel blocker toxicity is present
Question: Is it safe to give calcium without indication?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2025 Section 6.2; calcium indicated only for hyperkalemia or calcium channel blocker toxicity,,
ACLS-SHOCKABLE-NO-BICARB-ROUTINE,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,HIGH,FORBIDDEN,"patient.labs.get('ph', 7.35) > 7.1",give_sodium_bicarbonate_routine,"Clinical scenario: patient.labs.get('ph', 7.35) > 7.1
Context: Converted from unconditional: routine bicarbonate not recommended unless severe acidosis (pH <7.1) or known hyperkalemia
Question: Is it safe to give sodium bicarbonate routine?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AHA ACLS 2025 Section 6.2; bicarbonate only for severe acidosis (pH <7.1) or hyperkalemia,,
ACLS-HYPOTHERMIA-NO-DRUGS,acls_cardiac_arrest,AHA ACLS Cardiac Arrest Management,shockable_pathway,HIGH,FORBIDDEN,patient.vitals.temperature < 30,"give_epinephrine_1mg_iv, give_amiodarone_300mg, give_lidocaine_alternative","Clinical scenario: patient.vitals.temperature < 30
Context: Below 30C, cardiac drugs are ineffective and may accumulate to toxic levels; focus on rewarming and CPR.
Question: Is it safe to give epinephrine 1mg iv, give amiodarone 300mg, give lidocaine alternative?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AHA 2025 Section 6.4: Hypothermic Arrest; Brown DJA, NEJM 2012",,
