rule_id,graph,guideline,node,severity,effect_type,condition,actions,clinical_question,expected_answer,evidence_cited,clinician_agrees,clinician_notes
TRANS-CARDIAC-LIBERAL-THRESHOLD,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,restrictive_threshold,HIGH,REQUIRED,'acute_coronary_syndrome' in patient.comorbidities or 'symptomatic_cad' in patient.comorbidities,"apply_liberal_threshold_hb_8, transfuse_if_hb_below_8","Clinical scenario: patient has acute coronary syndrome OR patient has symptomatic cad
Context: ACS/symptomatic CAD patients benefit from liberal threshold (Hb < 8 vs < 7). MINT trial showed worse outcomes with restrictive strategy in cardiac patients.

Question: Should the clinician apply liberal threshold hb 8, transfuse if hb below 8?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required","AABB 2024; MINT Trial, NEJM 2023",,
TRANS-CARDIAC-LIBERAL-THRESHOLD-FORBIDDEN,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,restrictive_threshold,HIGH,FORBIDDEN,'acute_coronary_syndrome' in patient.comorbidities or 'symptomatic_cad' in patient.comorbidities,"use_liberal_transfusion_threshold_cardiac, transfuse_for_hb_above_8_in_cardiac","Clinical scenario: patient has acute coronary syndrome OR patient has symptomatic cad
Context: Cardiac patients benefit from restrictive transfusion (Hb < 8); liberal thresholds increase TACO and pulmonary edema risk.
Question: Is it safe to use liberal transfusion threshold cardiac, transfuse for hb above 8 in cardiac?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AABB 2024; TRICC trial; restrictive threshold (Hb < 8) is preferred in cardiac patients to reduce TACO/fluid overload,,
TRANS-STABLE-NO-TRANSFUSE-ABOVE-7,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,restrictive_threshold,HIGH,FORBIDDEN,"patient.labs.get('hemoglobin', 99) >= 7 and 'hemodynamically_stable' in patient.get('presentation', {})","transfuse_prbc, order_transfusion","Clinical scenario: patient.labs.get('hemoglobin', 99) >= 7 AND 'hemodynamically stable' in patient.get('presentation', {})
Context: In hemodynamically stable non-cardiac patients, Hb >= 7 does not require transfusion. Transfusing above threshold increases TACO, TRALI, infection risk without benefit.

Question: Is it safe to transfuse prbc, order transfusion?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","AABB 2024; TRICC Trial, Hebert 1999 NEJM",,
TRANS-TXA-WITHIN-3H,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,massive_transfusion,CRITICAL,FORBIDDEN,"patient.presentation.get('time_since_injury_hours', 0) > 3",give_tranexamic_acid,"Clinical scenario: patient.presentation.get('time since injury hours', 0) > 3
Context: TXA >3h after injury onset increases mortality (CRASH-2 subgroup analysis). Do NOT give TXA if >3h since injury.

Question: Is it safe to give tranexamic acid?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","CRASH-2 Trial, Lancet 2010 - TXA >3h increases mortality",,
TRANS-JEHOVAH-NO-BLOOD,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,massive_transfusion,CRITICAL,FORBIDDEN,"'jehovah_witness' in patient.get('preferences', []) or 'refuses_blood_products' in patient.get('preferences', [])","give_prbc, give_ffp, give_platelets, give_whole_blood","Clinical scenario: 'jehovah witness' in patient.get('preferences', []) OR 'refuses blood products' in patient.get('preferences', [])
Context: Jehovah's Witness or patients refusing blood products: transfusion is forbidden regardless of clinical indication. Use alternative strategies (cell saver, erythropoietin, TXA).

Question: Is it safe to give prbc, give ffp, give platelets, give whole blood?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",Patient autonomy; AABB ethical guidelines,,
TRANS-ANAPHYLAXIS-EPI,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,transfusion_reaction,CRITICAL,REQUIRED,"'anaphylactic_transfusion_reaction' in patient.get('presentation', {})","give_epinephrine_im, stop_transfusion_immediately","Clinical scenario: 'anaphylactic transfusion reaction' in patient.get('presentation', {})
Context: Anaphylactic transfusion reaction requires immediate epinephrine IM and cessation of transfusion. IgA deficiency is the most common cause.

Question: Should the clinician give epinephrine im, stop transfusion immediately?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required",AABB 2024 Transfusion Reaction Management,,
TRANS-ANAPHYLAXIS-EPI-FORBIDDEN,aabb_transfusion,AABB 2024 RBC Transfusion Guidelines,transfusion_reaction,CRITICAL,FORBIDDEN,"'anaphylactic_transfusion_reaction' in patient.get('presentation', {})","continue_transfusion_during_anaphylaxis, give_only_antihistamine_for_transfusion_anaphylaxis","Clinical scenario: 'anaphylactic transfusion reaction' in patient.get('presentation', {})
Context: Transfusion anaphylaxis requires immediate transfusion stop and epinephrine; antihistamine monotherapy is inadequate.
Question: Is it safe to continue transfusion during anaphylaxis, give only antihistamine for transfusion anaphylaxis?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",AABB 2024; transfusion anaphylaxis requires immediate stop and epinephrine; antihistamines alone are insufficient,,
BURN-PEDIATRIC-DEXTROSE,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,fluid_resuscitation,HIGH,REQUIRED,patient.age < 5,"add_dextrose_to_iv, monitor_glucose_q4h","Clinical scenario: patient age < 5
Context: Children <5 have limited glycogen stores. Large fluid resuscitation without dextrose causes hypoglycemia. Add D5 to maintenance fluids.

Question: Should the clinician add dextrose to IV fluids, monitor glucose q4h?
[ ] Yes, required  [ ] No, not needed  [ ] Depends (explain)","Yes, required",ABA 2024; ISBI Pediatric Burns Chapter,,
BURN-PEDIATRIC-DEXTROSE-FORBIDDEN,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,fluid_resuscitation,HIGH,FORBIDDEN,patient.age < 5,"withhold_glucose_monitoring_pediatric_burn, give_dextrose_free_fluid_only_pediatric_burn","Clinical scenario: patient age < 5
Context: Pediatric burn patients deplete glycogen rapidly; dextrose-free resuscitation without glucose monitoring causes hypoglycemic seizures.
Question: Is it safe to withhold glucose monitoring pediatric burn, give dextrose free fluid only pediatric burn?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated",ABA Burn Guidelines 2023; pediatric patients have limited glycogen reserves; hypoglycemia causes seizures and brain injury,,
BURN-OVERRESUS-LIMIT,aba_burn_resuscitation,ABA 2024 Burn Resuscitation Guidelines,fluid_resuscitation,HIGH,FORBIDDEN,"patient.presentation.get('tbsa_percent', 0) > 40",exceed_6ml_kg_tbsa_in_24h,"Clinical scenario: patient.presentation.get('tbsa percent', 0) > 40
Context: >40% TBSA burns risk fluid creep (>6ml/kg/%TBSA). Excessive resuscitation causes abdominal compartment syndrome, pulmonary edema. Cap at ~6ml/kg/%TBSA and consider colloid adjunct early.

Question: Is it safe to exceed 6ml kg tbsa in 24h?
[ ] Yes, safe  [ ] No, contraindicated  [ ] Depends (explain)","No, contraindicated","ABA 2024; Saffle JR, J Burn Care Res 2007 - fluid creep",,
